cards,rank,hand_class
4C 5C TC QC AC,545,FLUSH
3C 5C TC QC AC,546,FLUSH
2C 5C TC QC AC,547,FLUSH
3C 4C TC QC AC,548,FLUSH
2C 4C TC QC AC,549,FLUSH
2C 3C TC QC AC,550,FLUSH
7C 8C 9C QC AC,551,FLUSH
6C 8C 9C QC AC,552,FLUSH
5C 8C 9C QC AC,553,FLUSH
4C 8C 9C QC AC,554,FLUSH
3C 8C 9C QC AC,555,FLUSH
2C 8C 9C QC AC,556,FLUSH
6C 7C 9C QC AC,557,FLUSH
5C 7C 9C QC AC,558,FLUSH
4C 7C 9C QC AC,559,FLUSH
3C 7C 9C QC AC,560,FLUSH
2C 7C 9C QC AC,561,FLUSH
5C 6C 9C QC AC,562,FLUSH
4C 6C 9C QC AC,563,FLUSH
3C 6C 9C QC AC,564,FLUSH
2C 6C 9C QC AC,565,FLUSH
4C 5C 9C QC AC,566,FLUSH
3C 5C 9C QC AC,567,FLUSH
2C 5C 9C QC AC,568,FLUSH
3C 4C 9C QC AC,569,FLUSH
2C 4C 9C QC AC,570,FLUSH
2C 3C 9C QC AC,571,FLUSH
6C 7C 8C QC AC,572,FLUSH
5C 7C 8C QC AC,573,FLUSH
4C 7C 8C QC AC,574,FLUSH
3C 7C 8C QC AC,575,FLUSH
2C 7C 8C QC AC,576,FLUSH
5C 6C 8C QC AC,577,FLUSH
4C 6C 8C QC AC,578,FLUSH
3C 6C 8C QC AC,579,FLUSH
2C 6C 8C QC AC,580,FLUSH
4C 5C 8C QC AC,581,FLUSH
3C 5C 8C QC AC,582,FLUSH
2C 5C 8C QC AC,583,FLUSH
3C 4C 8C QC AC,584,FLUSH
2C 4C 8C QC AC,585,FLUSH
2C 3C 8C QC AC,586,FLUSH
5C 6C 7C QC AC,587,FLUSH
4C 6C 7C QC AC,588,FLUSH
3C 6C 7C QC AC,589,FLUSH
2C 6C 7C QC AC,590,FLUSH
4C 5C 7C QC AC,591,FLUSH
3C 5C 7C QC AC,592,FLUSH
2C 5C 7C QC AC,593,FLUSH
3C 4C 7C QC AC,594,FLUSH
2C 4C 7C QC AC,595,FLUSH
2C 3C 7C QC AC,596,FLUSH
4C 5C 6C QC AC,597,FLUSH
3C 5C 6C QC AC,598,FLUSH
